Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Uganda,141,140,107,73.6,52.3,62.6,104,127,135,140,155,160,141,136,142,152,196,217,219,252,312,294,609,607,352,300,326,288
Zambia,86.7,168,139,86.2,97.8,51.1,62.9,55.3,37.8,43.4,. .,56.1,. .,. .,. .,. .,98.3,140,206,232,278,221,280,309,346,381,444,372
Zimbabwe,407,409,416,376,296,250,248,263,292,311,306,263,346,287,677,195,256,131,162,. .,. .,. .,98.3,198,318,357,368,377
Belize,. .,4.4,4.8,4.7,5.3,6.1,7.9,8.1,8,9.4,. .,. .,7.1,7.5,7.8,8.6,9.5,10.7,12.3,13.8,18.7,17.3,15.3,15.4,15.2,17.8,17.8,19.6
Costa Rica,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Cuba,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,78.6,76.6,83.4,89.1,92.5,94.3,93.7,127,119,126,. .
Dominican Rep.,47.3,53.5,47.8,33.9,63.1,96,101,84.4,107,151,159,175,247,306,272,156,153,272,259,275,334,321,355,349,396,383,438,443
El Salvador,179,213,164,145,134,116,109,112,111,112,111,115,110,151,162,127,128,133,142,166,173,190,201,221,224,238,234,223
Guatemala,125,129,113,102,131,123,140,145,130,132,140,124,158,197,158,179,115,104,131,136,166,147,170,197,224,250,246,274
Haiti,2,2.2,2.7,2.6,1.7,1.6,1.6,2.5,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Honduras,132,138,67.1,47.4,. .,40.6,. .,. .,. .,. .,. .,. .,52.5,63,63.6,82.2,60.6,62.6,75.6,95.9,132,157,170,200,212,285,328,324
Jamaica,30.9,40.9,38.6,31.9,47.2,44.5,34.2,35.3,41.8,54.9,47.6,45.1,43.6,46.4,56.9,54.8,54.5,59.3,72.6,83.5,131,115,116,134,138,128,121,118
Mexico,982,1153,1327,1600,2000,2327,2889,1713,2064,2394,2481,2908,3323,3540,3480,3245,3129,3622,4083,4780,4940,4856,5897,6471,6979,7838,8663,7738
Nicaragua,. .,. .,1142,67.7,47.2,40.2,35.4,35.1,31.5,30.3,26.3,26.9,30.8,28.2,34.8,35.3,32.6,34.1,37.3,39.5,42.7,41.7,44.3,51.5,70.1,74.5,81.4,71.6
Panama,103,102,73.1,78.6,78.8,95.2,101,96.6,101,118,104,112,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Trinidad & Tobago,. .,. .,. .,. .,. .,22.6,24.2,. .,. .,. .,. .,. .,. .,13.9,19.5,33.7,75.9,97.8,116,125,139,139,143,146,169,211,195,255
Canada,9897,10747,11415,11339,10789,10269,9577,9177,8616,7945,7749,8211,8299,8376,8495,9958,11336,12988,14810,17417,19342,18936,19316,21394,20452,18516,17854,15031
USA,293093,304085,306170,280292,305141,297637,288059,278856,271417,276325,274278,280969,301697,312743,356720,415223,464676,503353,527660,556961,621131,668567,698180,711338,684780,639704,609914,596024
Argentina,2696,1441,2051,2859,3254,3369,3755,3802,3379,3341,3399,3462,3267,3184,1114,1375,1466,1700,1848,2296,2789,2982,3475,4052,4563,5138,4979,5475
Bolivia,92.9,102,137,144,141,110,135,141,147,180,229,177,173,184,160,173,169,169,180,221,327,346,327,404,500,564,626,535
Brazil,5874,8761,9236,6695,4994,7100,10591,14319,14073,13934,14357,9867,11344,10930,9665,8393,9780,13589,16405,20486,24453,25649,34003,36936,33987,32875,32660,24584
Chile,1000,989,1031,1038,1169,1291,1466,1828,1904,2121,2112,2043,2103,1893,1780,1828,2492,3001,3730,3958,4546,3760,4707,5440,5476,5669,5127,4615
Colombia,862,865,890,911,1102,1529,2005,2619,4319,2989,3390,3247,3028,3264,3348,3278,4057,4914,5327,6776,9051,9033,10422,10307,11706,12504,11846,9871
Ecuador,198,189,202,209,211,276,291,475,419,499,549,296,266,384,505,739,710,954,950,1310,1646,1949,2094,2454,2590,2804,2922,2697
Guyana,11,6,3.6,2,3.6,4.4,5.5,5.7,5.6,. .,. .,. .,12.6,14.4,16.7,16.3,22.1,18.5,19.2,25,30.5,31.1,31.1,32.4,33.5,35.2,39.3,45.2
Paraguay,80.9,77,90.2,146,145,110,122,152,145,177,147,123,116,96.3,73.8,67,89.2,82.3,112,139,178,178,216,302,339,394,432,462
Peru,737,863,777,698,905,957,1111,1413,1396,1179,1142,992,912,904,840,891,922,1149,1218,1223,1385,1723,1956,2026,2378,2960,2929,3040
Uruguay,260,298,328,269,367,419,450,524,576,575,573,574,562,524,344,277,288,361,404,431,593,651,788,842,905,1069,852,963
Venezuela,1097,1196,738,984,993,1288,940,1199,733,1541,1451,1408,1788,1911,1071,988,1449,2054,2998,2970,4325,4020,3363,2385,4966,5314,5577,5265
Kazakhstan,xxx,xxx,xxx,xxx,. .,. .,107,178,242,237,243,144,144,221,246,318,426,592,793,1360,1541,1272,1502,1804,2178,2551,2306,1902
Kyrgyzstan,xxx,xxx,xxx,xxx,. .,. .,28.7,51.6,54.6,55,43.8,32.5,39.4,35.8,43.8,55.1,63,75.7,89.8,116,149,149,184,211,212,234,252,236
Tajikistan,xxx,xxx,xxx,xxx,1,23.5,14.2,5.8,13.5,19.1,22.6,15.1,10.4,12.5,25.6,34.8,45.1,. .,. .,. .,52.5,47.5,53.8,71.3,76.3,. .,104,. .
Turkmenistan,xxx,xxx,xxx,xxx,. .,. .,79.6,136,48.5,106,87.5,112,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Uzbekistan,xxx,xxx,xxx,xxx,. .,. .,86.9,113,172,218,. .,250,115,59.8,45.9,54.1,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.",. .,11403,10085,9954,12420,12577,10051,12606,14563,16105,17528,21027,22930,27875,32138,35126,40353,45729,55337,68090,86412,105634,115701,137967,157446,177848,199651,214787
Japan,28216,27966,28800,32785,35999,41354,45286,49962,44047,40635,37849,43123,45510,40758,39334,42486,45340,44301,41553,40530,46361,51465,54655,60762,60012,49024,45867,40885
"Korea, North",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
"Korea, South",7732,9469,10111,10957,11615,12377,13519,16085,16409,14848,10458,12095,13801,12942,14102,15847,17830,22160,25177,27726,26072,24576,28175,30992,31952,34354,37286,36435
Mongolia,. .,. .,. .,111,33,14.1,16.4,21.3,21.6,18.7,19.9,18,24.3,23.1,25.3,24.3,27.7,29.8,39.2,56.6,66.7,37.6,54.9,87.2,118,107,105,102
Taiwan,7110,8142,8701,9304,10071,11653,11953,11470,11765,11325,9232,9569,8801,7982,7531,7473,7833,8011,7645,8157,8960,9123,9092,9998,10497,9964,10240,9803
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,125,123,131,220,241,252,298,326,239,217,268,199
Bangladesh,332,379,373,382,428,471,547,620,639,682,702,737,741,705,682,719,771,774,830,953,1030,1259,1625,1802,1823,2048,2374,2669
India,11346,10590,10537,8622,8083,8254,8881,9754,9905,11465,11921,13896,14288,14601,14750,16334,20239,23072,23952,28255,33002,38722,46090,49634,47217,47404,50914,51257
Nepal,35.8,36.3,37.9,35.4,37.6,37,39.3,39.8,39.5,42.6,42.3,47.5,51.4,64.7,85.4,103,131,159,157,170,187,210,255,285,257,279,313,312
Pakistan,2722,2580,2810,3067,3389,3309,3321,3666,3548,3320,3219,3081,2973,2842,3273,3723,4128,4587,4969,5343,5227,5275,5975,6955,7479,7645,8655,9510
Sri Lanka,165,126,187,277,327,355,437,764,767,699,733,631,822,675,572,542,619,644,791,1055,1511,1522,1532,1752,1462,1684,2022,1819
Brunei,178,186,231,245,252,234,262,286,328,369,294,258,244,218,226,243,199,249,293,323,362,350,391,415,411,412,528,424
Cambodia,. .,. .,29.1,43.3,62.3,44.6,107,123,114,103,83.3,88.2,81,70.8,65.2,67.5,69.2,71,75.9,79,82.6,137,168,192,217,243,278,. .
Indonesia,1357,1410,1614,1697,1888,1933,2240,2479,2875,3231,973,1135,1130,919,1370,2135,2429,2146,2612,3349,3232,3304,4663,5838,6531,8384,6929,7641
Laos,. .,. .,. .,. .,102,108,116,104,78.4,67.1,33.4,15.4,13.7,12.6,11.4,11,11.5,12,13.4,14.8,16.3,14,15.4,19,20.3,22.7,. .,. .
Malaysia,856,1019,1125,1572,1767,1923,2121,2444,2421,2089,1159,1663,1533,1934,2238,2882,2823,3120,3266,3971,4412,3965,3854,4692,4507,4916,4919,4549
Myanmar,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,2969,2367,2373,2193
Philippines,932,955,951,913,1079,1173,1392,1700,1879,1576,1226,1341,1303,1122,1199,1301,1243,1373,1607,2014,2271,2116,2438,2701,2899,3377,3103,3870
Singapore,1206,1410,1802,2023,2332,2481,2797,3673,4100,4457,4466,4493,4331,4309,4528,4724,5043,5464,5831,6519,7454,7538,8109,8922,9172,9346,9668,9417
Thailand,1809,1940,2214,2598,2962,3156,3611,3849,3938,3265,2110,2057,1881,1725,1813,1892,1867,1984,2442,3523,4466,4800,4962,5513,5492,5901,5730,5737
Timor Leste,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,8.2,17.1,23.7,23.7,36.5,26.4,20.5,33.4,31.7,29.6,37
Viet Nam,1306,459,512,428,333,298,431,. .,. .,. .,. .,. .,. .,. .,. .,842,915,1026,1287,1784,2138,2401,2672,2687,3361,3727,4256,4571
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,5836,6300,6704,7024,6882,6734,7460,7666,8203,7937,7108,7770,7274,7043,7947,9927,11995,13238,14240,17186,18633,18960,23218,26597,26217,24825,25784,23588
Fiji,24.7,29.1,30.5,32.5,30.5,32,33.7,34.7,32.9,31,22.6,23.8,32,32.8,30.9,37.3,46.8,43.1,54.1,75.6,53.6,51.3,50.4,60.8,59.2,58.1,43.3,49.2
New Zealand,962,960,1058,989,870,867,980,1146,1238,1181,969,970,858,797,866,1133,1285,1390,1464,1714,1661,1623,1931,2080,2095,2134,2276,2061
Papua New Guinea,46.3,53.1,68.7,52.6,58.6,68.6,83.3,56.4,78.7,79.6,49.7,35.7,33.6,25.2,17,19.3,24.4,30.5,31.3,39.3,39.3,52,46.3,64.2,111,105,112,100
Albania,. .,. .,. .,. .,31.6,39.3,49.6,50.9,45.7,29.8,33.6,42.8,45.4,53.2,58.6,76.1,101,110,141,195,256,183,186,197,183,180,178,132
Bosnia-Herzegovina,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,241,202,200,173,178,195,233,242,220,212,197,198,190,162
Bulgaria,. .,2071,795,232,256,283,242,311,214,244,320,357,351,406,456,569,651,699,751,1032,1038,963,893,829,808,900,836,661
Croatia,xxx,xxx,xxx,xxx,782,1169,1625,2060,1939,1797,1427,1036,660,629,734,709,731,799,849,979,1296,1129,1016,1106,955,957,907,755
Czech Rep.,xxx,xxx,xxx,xxx,xxx,816,938,1065,1124,988,1166,1206,1157,1183,1494,1886,2042,2440,2450,2708,2919,2719,2498,2474,2146,2083,2023,1778
Czechoslovakia,. .,. .,2334,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,xxx,xxx,xxx,xxx,. .,13.1,25.1,36.3,41.4,53,59.9,73.8,78.3,93.8,122,171,205,266,315,444,506,434,332,389,437,479,512,457
German DR,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,1028,813,847,723,812,736,757,612,585,696,618,703,716,845,1079,1402,1533,1596,1410,1776,1868,1476,1351,1472,1322,1280,1210,1023
Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.9,27.2,38.6,51,43.4,48.6,53.6,50
Latvia,xxx,xxx,xxx,xxx,. .,17.7,33.9,43.6,38.2,38,42.2,56.6,70,87,147,189,229,273,368,481,582,364,260,297,256,284,299,286
Lithuania,xxx,xxx,xxx,xxx,. .,20.8,21.1,30.5,42.3,75.6,138,106,140,167,181,211,271,304,352,442,541,405,326,345,329,355,427,471
"Macedonia, FYR",xxx,xxx,xxx,xxx,. .,. .,. .,. .,131,83.3,79,66.2,69.8,226,106,116,135,127,126,163,173,159,130,132,119,127,123,107
Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,60.8,62.3,64.2,85.1,76.7,75.1,79.4,67.7,70.6,69.1,64.9
Poland,1784,1494,1541,1722,1882,2123,2252,2719,3083,3192,3491,3227,3146,3631,3776,4150,4779,5896,6619,8589,9349,7904,8790,9455,8987,9276,10345,10460
Romania,2524,2572,1739,1377,832,722,937,983,874,1075,1254,955,936,986,1056,1250,1530,1976,2251,2608,3000,2225,2086,2380,2103,2453,2691,2481
Serbia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,914,642,737,337,494,679,731,739,630,705,972,1112,974,872,987,854,920,913,724
Slovak Rep.,xxx,xxx,xxx,xxx,xxx,267,300,630,642,500,398,327,342,394,440,625,711,823,911,1139,1412,1350,1138,1065,1020,968,998,973
Slovenia,xxx,xxx,xxx,xxx,281,230,238,335,330,291,301,275,222,271,327,417,493,514,609,693,829,799,772,666,543,507,486,407
Yugoslavia (former),. .,. .,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Armenia,xxx,xxx,xxx,xxx,. .,9.8,. .,52.2,52.4,64.1,66.8,68.2,68.1,66.2,64.1,76.6,98.1,141,188,280,396,359,395,391,381,445,458,447
Azerbaijan,xxx,xxx,xxx,xxx,11.1,77.5,43.9,66.2,71.6,92.1,107,120,120,132,140,177,228,305,717,947,1608,1473,1477,3080,3246,3368,3427,3021
Belarus,xxx,xxx,xxx,xxx,. .,. .,. .,179,183,249,228,166,140,178,204,232,314,453,632,747,883,675,768,756,817,971,1011,724
Georgia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,67.7,44,41.1,25.9,18.8,23.8,34,42.6,70.4,214,404,932,1090,604,454,469,492,408,416,327
Moldova,xxx,xxx,xxx,xxx,. .,. .,. .,13.3,15.4,17.4,10.6,6,5.1,6,7,8.2,9.4,12,16.4,22.7,36.8,24.9,18.3,23,23.9,26.7,27.6,23.1
USSR/Russia,246011,218760,219114,. .,. .,7767,13548,12742,15826,17577,7956,6469,9228,11683,13944,16974,20955,27337,34518,43535,56184,51532,58720,70238,81469,88353,84697,66421
Ukraine,xxx,xxx,xxx,xxx,. .,152,919,1047,1465,2069,1405,942,1137,1089,1176,1428,1685,2405,2986,4096,4811,3452,3730,3685,4137,4386,4033,3622
Austria,1714,1623,1973,1994,2140,2115,2228,2558,2458,2165,2160,2124,1926,1789,1882,2382,2679,2686,2640,3500,3747,3335,3218,3410,3187,3229,3305,2537
Belgium,4097,3881,4644,4625,4131,3746,3944,4449,4242,3684,3664,3598,3191,3036,3147,3876,4263,4228,4308,5164,6296,5621,5245,5499,5169,5230,5192,4168
Cyprus,244,245,411,418,630,268,298,299,448,534,484,290,281,328,242,288,338,381,388,405,454,471,478,480,414,385,358,354
Denmark,2320,2184,2650,2672,2838,2682,2719,3118,3086,2804,2846,2785,2393,2525,2694,3199,3579,3468,3897,4176,4788,4337,4503,4519,4422,4217,4057,3463
Finland,1704,1767,2141,2201,2076,1615,1756,1909,2022,1947,1960,1654,1558,1479,1611,2264,2646,2743,2861,3015,3615,3599,3400,3749,3603,3787,3599,2979
France,36105,35317,42590,42703,45123,42591,44393,47768,46403,41308,40041,38897,33814,33277,36404,45917,53007,52909,54516,60595,66009,66884,61782,64601,60035,62417,63614,50860
Germany,35097,33604,42319,39516,41966,37215,36330,41159,38990,33218,33146,32604,28150,27425,29333,35055,38008,38054,38092,42552,48081,47470,46256,48140,46471,45931,46103,39393
Greece,2750,2560,3193,3147,3623,3364,3587,4180,4613,4574,4824,5012,4565,4428,4734,5036,6267,7028,7607,8533,10574,10641,8164,7129,5915,5655,5531,5083
Iceland,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,22.5,19.9,19.5,17.4,. .,. .,. .
Ireland,453,434,594,625,674,598,634,702,751,765,742,742,695,768,811,965,1102,1145,1190,1372,1583,1416,1274,1300,1158,1196,1191,995
Italy,19621,19927,23376,24336,25002,20566,20364,19375,23442,22724,23478,23694,22411,22006,24363,30242,34116,33526,33408,35962,41244,38301,36032,38130,33733,33892,31571,23840
Luxembourg,86,76,96.7,108,123,108,126,142,141,134,143,141,128,160,153,199,235,244,247,286,237,223,274,257,238,259,279,303
Malta,22.4,21.3,21.2,21.7,26.7,24.6,27.9,31.1,33.3,31.1,29.1,28,25.4,27.1,28.4,34.1,40.5,52.5,44.4,49.3,56,59.1,58.7,55.9,49.9,53.8,56.5,55.9
Netherlands,6729,6399,7421,7246,7905,7055,7137,8012,7829,6839,6836,7026,5972,6200,6728,8356,9377,9567,10218,11480,12375,12132,11221,11648,10365,10226,10333,8873
Norway,2895,2933,3395,3288,3804,3176,3403,3508,3537,3253,3325,3309,2922,2966,4066,4518,4887,4885,5012,5875,6371,6196,6499,7232,7144,7392,7334,5898
Portugal,1348,1457,1875,2115,2533,2192,2174,2670,2601,2389,2336,2406,2204,2325,2602,3110,3719,4039,4067,4366,4812,4950,4719,4904,4137,4724,4112,3684
Spain,8900,9303,11695,11680,12250,10042,10093,11440,11294,9866,10333,11114,10274,10222,10271,12881,15262,15998,17252,20066,22228,20178,19711,19695,18861,17243,17051,14104
Sweden,4918,5033,6170,6219,6419,5011,5155,5730,6203,5203,5132,5149,4789,4128,4355,5306,5515,5518,5577,6386,6025,5063,5886,6325,6244,6529,6556,5377
